Ticker,Maliyet,Adet,Alış_Tarihi,Stop_Seviyesi,Backstop_Aktif,Market
GUNDG,378.75,264,2026-02-22,352.24,False,
ALKLC,280.25,357,2026-02-22,260.63,False,
ODINE,530.0,189,2026-02-22,492.9,False,
OZRDN,27.5,3636,2026-02-22,25.58,False,
KOZAA,156.0,641,2026-02-22,145.08,False,
