Ticker,Maliyet,Adet,Alış_Tarihi,Stop_Seviyesi,Backstop_Aktif
ALKLC,267.5,373,2026-02-22,248.78,False
BARMA,41.4,2415,2026-02-22,38.5,False
IEYHO,76.15,1313,2026-02-22,70.82,False
SEGMN,38.5,2597,2026-02-22,35.8,False
DITAS,51.05,1959,2026-02-22,47.48,False
