Ticker,Maliyet,Adet,Alış_Tarihi,Stop_Seviyesi,Backstop_Aktif
GUNDG,378.75,265,2026-02-22,352.24,False
ALKLC,280.25,357,2026-02-22,260.63,False
ODINE,530.0,189,2026-02-22,492.9,False
OZRDN,27.5,3636,2026-02-22,25.58,False
EDATA,11.25,8890,2026-02-22,10.46,False
