Ticker,Maliyet,Adet,Alış_Tarihi,Stop_Seviyesi,Backstop_Aktif,Market
DSTKF,1871.0,75,2026-03-23,1740.03,False,BIST
ODINE,714.5,196,2026-03-23,664.49,False,BIST
KTLEV,63.65,2200,2026-03-23,59.19,False,BIST
OZRDN,38.68,3620,2026-03-23,35.97,False,BIST
NIBAS,9.42,14850,2026-03-23,8.76,False,BIST
