Ticker,Maliyet,Adet,Alış_Tarihi,Stop_Seviyesi,Backstop_Aktif,Market
AMAT,328.4,30,2026-02-24,305.41,False,US
CAT,690.91,15,2026-02-24,642.55,False,US
CHRW,198.5,50,2026-02-24,184.61,False,US
CIEN,268.49,37,2026-02-24,249.7,False,US
CAH,218.93,46,2026-02-24,203.6,False,US
