Ticker,Maliyet,Adet,Alış_Tarihi,Stop_Seviyesi,Backstop_Aktif,Market
ALKLC,267.5,374,2026-02-23,248.78,False,BIST
BARMA,41.4,2415,2026-02-23,38.5,False,BIST
IEYHO,76.15,1313,2026-02-23,70.82,False,BIST
SEGMN,38.5,2597,2026-02-23,35.8,False,BIST
DITAS,51.05,1959,2026-02-23,47.48,False,BIST
